City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,279.62,93,100,7.6,TF,1707268671
1,nar'yan-mar,67.6713,53.087,244.88,99,98,1.79,RU,1707268869
2,praia da vitoria,38.7333,-27.0667,291.29,82,40,10.12,PT,1707268870
3,maceio,-9.6658,-35.7353,299.84,94,20,2.06,BR,1707268425
4,zeya,53.75,127.2667,252.31,95,100,0.63,RU,1707268594
5,albany,42.6001,-73.9662,272.53,76,3,1.43,US,1707268871
6,winnemucca,40.973,-117.7357,275.18,87,100,5.66,US,1707268829
7,waitangi,-43.9535,-176.5597,292.49,95,100,10.97,NZ,1707268831
8,tolanaro,-25.0319,46.9987,296.19,94,40,9.77,MG,1707268872
9,invercargill,-46.4,168.35,289.83,66,7,5.81,NZ,1707268837
10,adamstown,-25.066,-130.1015,298.15,85,82,3.83,PN,1707268839
11,cativa,9.3606,-79.8436,295.87,85,53,4.92,PA,1707268874
12,lemvig,56.5486,8.3102,276.01,89,16,6.75,DK,1707268874
13,rundu,-17.9333,19.7667,292.28,90,99,2.03,NA,1707268875
14,cidreira,-30.1811,-50.2056,296.68,86,100,6.22,BR,1707268875
15,pinheiro,-2.5214,-45.0825,297.02,99,16,0.77,BR,1707268876
16,edinburgh of the seven seas,-37.0676,-12.3116,290.03,63,95,1.61,SH,1707268876
17,codrington,-38.2667,141.9667,291.7,62,80,5.21,AU,1707268324
18,kargil,34.5667,76.1,246.16,89,100,1.0,IN,1707268877
19,nova sintra,14.8667,-24.7167,294.14,72,0,5.66,CV,1707268878
20,springbok,-29.6643,17.8865,287.76,73,19,1.91,ZA,1707268879
21,iqaluit,63.7506,-68.5145,252.0,54,0,5.14,CA,1707268879
22,lihue,21.9789,-159.3672,299.73,64,0,8.75,US,1707268880
23,santa cruz del sur,20.7147,-77.9956,295.66,57,0,8.57,CU,1707268881
24,gadzhiyevo,69.2551,33.3362,254.73,98,100,4.4,RU,1707268846
25,anatuya,-28.4606,-62.8347,306.38,33,99,6.27,AR,1707268882
26,dekina,7.6948,7.0222,297.16,21,97,0.98,NG,1707268883
27,farafangana,-22.8167,47.8333,297.15,93,65,3.74,MG,1707268884
28,ilulissat,69.2167,-51.1,265.16,53,100,10.8,GL,1707268885
29,kodiak,57.79,-152.4072,275.88,75,0,5.14,US,1707268885
30,longyearbyen,78.2186,15.6401,264.06,62,75,5.66,SJ,1707268711
31,ushuaia,-54.8,-68.3,288.96,39,0,6.17,AR,1707268697
32,mboursou lere,9.7639,14.1539,296.84,17,73,4.37,TD,1707268887
33,tucurui,-3.7661,-49.6725,297.3,91,56,1.23,BR,1707268888
34,hirara,24.8,125.2833,295.07,73,0,5.14,JP,1707268888
35,avarua,-21.2078,-159.775,303.18,74,75,6.17,CK,1707268889
36,grytviken,-54.2811,-36.5092,282.08,62,6,2.34,GS,1707268850
37,ribeira grande,38.5167,-28.7,290.25,92,90,7.15,PT,1707268845
38,pisco,-13.7,-76.2167,298.18,78,0,5.66,PE,1707268841
39,puerto natales,-51.7236,-72.4875,283.49,80,41,1.01,CL,1707268836
40,sinabang,2.4803,96.3801,300.54,77,100,1.32,ID,1707268892
41,punta arenas,-53.15,-70.9167,285.21,71,75,5.14,CL,1707268692
42,senador jose porfirio,-2.5908,-51.9542,300.18,75,100,1.16,BR,1707268893
43,dharmabad,18.9,77.85,295.14,44,0,1.53,IN,1707268893
44,tralee,52.2704,-9.7026,277.83,87,100,2.04,IE,1707268894
45,whitehorse,60.7161,-135.0538,259.32,82,75,2.06,CA,1707268842
46,kamphaeng phet,16.25,99.5,296.64,21,0,0.75,TH,1707268895
47,gobabis,-22.45,18.9667,297.89,48,98,2.81,NA,1707268895
48,blackmans bay,-43.0167,147.3167,294.55,40,82,2.56,AU,1707268848
49,antofagasta,-23.65,-70.4,297.75,76,0,1.64,CL,1707268609
50,aioun,16.6614,-9.6149,294.41,10,0,5.71,MR,1707268897
51,brisas de zicatela,15.8369,-97.0419,299.44,69,75,1.03,MX,1707268358
52,meadow lake,34.8014,-106.5436,285.99,33,100,3.02,US,1707268898
53,gordonvale,-17.0936,145.7842,308.65,71,45,1.93,AU,1707268899
54,lebu,-37.6167,-73.65,290.83,95,99,1.33,CL,1707268899
55,bethel,41.3712,-73.414,273.82,68,0,1.54,US,1707268900
56,geraldton,-28.7667,114.6,306.38,15,0,10.8,AU,1707268900
57,sisimiut,66.9395,-53.6735,267.1,76,100,9.36,GL,1707268367
58,kapa'a,22.0752,-159.319,300.14,64,0,8.75,US,1707268901
59,puerto ayora,-0.7393,-90.3518,298.49,87,61,3.68,EC,1707268901
60,smithers,54.7804,-127.1743,270.95,86,100,0.16,CA,1707268310
61,acarau,-2.8856,-40.12,300.46,82,14,6.69,BR,1707268742
62,yellowknife,62.456,-114.3525,255.6,84,100,5.66,CA,1707268837
63,ouani,-12.1322,44.4258,301.52,81,66,5.37,KM,1707268904
64,isafjordur,66.0755,-23.124,269.89,88,100,6.93,IS,1707268818
65,tiksi,71.6872,128.8694,245.96,99,97,2.88,RU,1707268905
66,urengoy,65.9667,78.3667,253.62,100,100,2.02,RU,1707268905
67,georgetown,5.4112,100.3354,301.11,82,20,2.06,MY,1707268675
68,stanley,54.868,-1.6985,275.21,77,0,2.06,GB,1707268847
69,ridder,50.355,83.5133,262.53,73,88,2.87,KZ,1707268907
70,tyup,42.7276,78.3648,266.34,63,16,1.19,KG,1707268908
71,anadyr,64.75,177.4833,250.43,76,100,9.0,RU,1707268908
72,vangaindrano,-23.35,47.6,295.87,96,43,2.56,MG,1707268909
73,pont rouge,48.8833,-72.0825,257.31,98,100,0.44,CA,1707268909
74,sao joao da barra,-21.6403,-41.0511,298.0,89,100,3.02,BR,1707268910
75,mananjary,-21.2167,48.3333,297.27,94,99,3.86,MG,1707268910
